poi_id,poi_ind,rec_id,rec_ind
sg:5720194706464af28823c80f0c59050d,1869,sg:42c2824c66124cb98eb16f67709a63bf,1470
sg:572059b0a23448e6afdc9cede1ce9d31,1870,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:57306e20c4b248fbb4c78bf86d87c1a5,1871,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:5735053079e7464d93b6a3b4af0c4abf,1872,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:573eec18109a4d13bb07faee42aa531c,1873,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:57586e1a74214a778d92b09b2eaf7fa5,1874,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:577333af04f04959a5383f948c2912dd,1875,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:577945a495db4b7d8002da46d551321f,1876,sg:f8eac82189214f47b182f0ac8370efd2,4939
sg:5787e970bff7497d849cd86274b1b336,1877,sg:bc8297957dfe4537b02c61002096e7c9,3827
sg:5799d84c4e2d44f4b0df790e9835b284,1878,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:579afa9051c44c52bc3ec934f7263627,1879,sg:408eab8f44f346b8a3341ed65c4b6643,1424
sg:579e15bda6ad4a038688274e0aeb7710,1880,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:57aa7287a19a470188c2c83cebc6849b,1881,sg:ad479e1456884db6a83527fccbc2e0d9,3534
sg:57af2623b80245e4ba953b6761f83533,1882,sg:43df8a0c8a3849629e1f918717e85cdd,1493
sg:57b265e77d334e8db3bed9287e6e32dc,1883,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:57cf74210df24f44a59a24d195d6d97f,1884,sg:4c6abf769ec5438d9f528947216a2139,1652
sg:57d8b1c763aa4bd2a2331333dfba5e3e,1885,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:57e68d3fb6eb4bf69d58fb0f7869de3d,1886,sg:4435703ae5b44067ae640db52da3459c,1502
sg:57fc62987c5f42669023cc677605264f,1887,sg:08157837a9064a4aa1af9a2cc65683da,183
sg:5807fc3f8265483aac2f03a6ac611721,1888,sg:f8eac82189214f47b182f0ac8370efd2,4939
