"","poi_id","poi_cbg","count_sum","bg_atl_dist_mean","med_income_poi","PRD","PID","X","count","group1_poi","group2_poi","group3_poi","group4_poi","group5_poi","white_poi","black_poi","other_poi","n_visit","visitor_home_cbg","new_cate","med_dist","location_name","top_category","sub_category","street_address","city","latitude","longitude","naics_code","GEOID","ALAND","AWATER","group1_home","group2_home","group3_home","group4_home","group5_home","white_home","black_home","other_home","disc_income","disc_race","income_ineq","race_ineq","white_domi","high_domi","white_disc","high_disc"
"3275","sg:9fe17e603c57493cb9b1a5b8bdfb4505",131210001003,70,4325.55360125,183182,0.203526337,0.551992992,4043,70,0.0908952580267472,0.0863185945740346,0.196383286399651,0.179944747706002,0.446458113293565,0.806931099183688,0.124184436399577,0.0914382679095531,70,9,"recreation",11512,"Wildwood Gardens Park","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions","735 Wildwood Pl NE","Atlanta",33.802884,-84.363854,712190,131210001003,2003977,15686,0.0148514851485149,0.0655940594059406,0.168316831683168,0.205445544554455,0.545792079207921,0.921293800539084,0.0102425876010782,0.0970350404312668,0.249669525525619,0.233901322675608,0.477565721999134,0.804351394874558,0.796473662784111,0.448007008398785,-0.228304550153895,-0.221603070809136
"3276","sg:9ff0e25406cf47888fdb45eecb3de976",131210042002,140,3839.42461515833,25270,0.370969674,0.57844302,4044,140,0.369978590668239,0.225213611944656,0.229990574848311,0.133912884834196,0.0409043377045985,0.113576018347381,0.856333344032503,0.0426367032879952,140,25,"retail",15788,"Chevron","Gasoline Stations","Gasoline Stations with Convenience Stores","507 Joseph E Lowery Blvd SW","Atlanta",33.740954,-84.418115,447110,131210042002,986969,0,0.515207373271889,0.150230414746544,0.189861751152074,0.125345622119816,0.0193548387096774,0.0846347607052897,0.91536523929471,0,0.2904575652073,0.130609856192294,0.42560555492241,0.685709622397127,-0.629030325685122,-0.4215569800741,0.0879731529042986,0.10036234711484
"3277","sg:9ff8497f1fb140c184e4570bd46cbc8c",131210018001,99,5373.7035914,64311,0.850472929,0.974610926,4045,99,0.192223344426913,0.154728768204154,0.279524700386589,0.193409173108465,0.180114013873879,0.477702144763413,0.441902073971157,0.104308065032804,99,11,"others",21787,"Butler Street Baptist Church","Religious Organizations","Religious Organizations","315 Ralph McGill Blvd NE","Atlanta",33.763771,-84.377503,813110,131210018001,535768,0,0.201159420289855,0.129855072463768,0.289855072463768,0.228985507246377,0.150144927536232,0.494861660079051,0.409881422924901,0.120948616600791,0.109685564156066,0.0658207179298808,0.152951746990108,0.15451913582506,0.149527070792256,0.0253890743512765,-0.0491801663618935,-0.0215448676777095
"3278","sg:a0067014d66a4b3e97999323a1840e60",131210042002,20,1705.77970316,25270,0.25696094,0.508188873,4046,20,0.345815112197749,0.256614914202031,0.285769074245278,0.0997861075143128,0.0120147918406299,0.0664175458208681,0.923183605806455,0.010398848372677,20,5,"personal services",12139,"Natural Hair by Rinah Royal Crown","Personal Care Services","Beauty Salons","889 Ralph David Abernathy Blvd SW","Atlanta",33.738298,-84.416786,812112,131210042002,986969,0,0.515207373271889,0.150230414746544,0.189861751152074,0.125345622119816,0.0193548387096774,0.0846347607052897,0.91536523929471,0,0.404583645097381,0.0364344297688436,0.551638201290115,0.83195621161291,-0.743039059985587,-0.491811127044838,-0.0260355813961666,0.0301082001441021
"3279","sg:a00b011102e54080bfdf402b340caa56",131210076021,250,4019.92645438438,18088,0.285764948,0.434565196,4047,250,0.415441557982844,0.275137210779638,0.183095266241979,0.0955102618971901,0.0308157030983487,0.0673529165417919,0.89531496818347,0.0496272194723531,250,33,"retail",3293,"Family Dollar Stores","General Merchandise Stores, including Warehouse Clubs and Supercenters","All Other General Merchandise Stores","1531 Campbellton Rd SW","Atlanta",33.713272,-84.438624,452319,131210076021,528308,0,0.555147058823529,0.154411764705882,0.150735294117647,0.139705882352941,0,0.0394160583941606,0.902189781021898,0.0656934306569343,0.367802242592872,0.0508778821706408,0.608281537524965,0.763923832169325,-0.714235051641678,-0.565434803766944,0.0348116709860596,0.00560013740952618
"3280","sg:a00b251a2ecb460aa2d113090f75522b",131210092003,52,8770.36701336364,72035,0.977201511,0.926124793,4048,52,0.236209393743374,0.171840960733745,0.256592497600763,0.162948565881511,0.172408582040607,0.420896192363218,0.511824703132663,0.0886711376251146,52,12,"retail",14342,"Blue Rat","Other Miscellaneous Store Retailers","Tobacco Stores","2084 Cheshire Bridge Rd NE Ste A","Atlanta",33.812447,-84.355056,453991,131210092003,1361342,33370,0.110544217687075,0.0952380952380952,0.357993197278912,0.193027210884354,0.243197278911565,0.659266907589055,0.209086215797625,0.157976251935983,0.404536083103898,0.610414316871743,0.105021782688274,0.0334433516054408,0.0227984892305553,-0.0738752065550001,-0.541109202560875,-0.303135383425749
"3281","sg:a00e9845e1dd460da484d115126d7aa3",131210081024,195,4099.3185647,21250,0.246120564,0.503005957,4049,195,0.35417111256905,0.272280885382035,0.242908047197036,0.0866339732706848,0.0440059815811945,0.0406996825817732,0.908306118342044,0.06135638660985,195,30,"recreation",5267,"Isabel Gates Webster Park","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions","275 Peyton Rd. SW At Peyton Place","Atlanta",33.748795,-84.476068,712190,131210081024,1355654,0,0.569366479550922,0.305533279871692,0.0970328789093825,0.00801924619085806,0.0200481154771451,0.0437352245862884,0.8274231678487,0.132781717888101,0.496895522943058,0.155343823776111,0.513960090296241,0.791839049150421,-0.753879435760271,-0.496994043099206,-0.0839184924978597,0.351020354655405
"3282","sg:a00f626bda0243ef84c3d74d0748dd9d",131210096031,21,7438.366497075,83021,0.746536287,0.930847296,4050,21,0.199996801557248,0.191874151500861,0.145923390155593,0.144895563685273,0.317310093101024,0.528979677338236,0.389242964031101,0.118757254707061,21,5,"recreation",11955,"Anytime Fitness","Other Amusement and Recreation Industries","Fitness and Recreational Sports Centers","550 Pharr Rd NE","Atlanta",33.837355,-84.370235,713940,131210096031,504024,0,0.181818181818182,0.1306266548985,0.139452780229479,0.251544571932921,0.296557811120918,0.676891615541922,0.152692569870484,0.244717109747785,0.213298016495295,0.510422187405027,0.23998248920377,0.272904968014196,0.253463713307134,0.0691527037281881,-0.384462332364303,-0.165322842608969
"3283","sg:a018b98365e743619a4f96bb00b28c89",131210021001,98,6724.68860974783,68618,0.506368306,0.721014861,4051,98,0.137281888025674,0.115079703466761,0.215109677683935,0.182151248596761,0.350377482226868,0.642737264617836,0.26283257101968,0.119689692499004,98,24,"recreation",72259,"Georgia Aquarium","Museums, Historical Sites, and Similar Institutions","Zoos and Botanical Gardens","225 Baker St NW","Atlanta",33.763419,-84.395082,712130,131210021001,776379,0,0.279043280182232,0.165148063781321,0.174259681093394,0.189066059225513,0.19248291571754,0.293544457978075,0.620787657328461,0.0941940722695899,0.397489126199739,0.732643513177956,0.289817461647259,0.51400538609716,0.493631693598156,0.278985139331195,0.707147892948542,0.342809508351695
"3284","sg:a02555002fd943e3b0875f59761f075e",131210077063,12,1922.499936,68328,0.200995118,0.89893682,4052,12,0.193688283096448,0.211078339322908,0.290347934945662,0.26053366572776,0.044351776907221,0.0322205360373299,0.944952418234861,0.0256020485028118,12,2,"others",24226,"Mt Gilead United Methodist Church","Religious Organizations","Religious Organizations","3150 Fairburn Rd SW","Atlanta",33.66891,-84.515197,813110,131210077063,3455099,62550,0.161194029850746,0.161791044776119,0.334925373134328,0.290746268656716,0.0513432835820896,0.0426697983949892,0.932080642004306,0.0252495596007046,0.163563095584982,0.0236735274903217,0.386825879992661,0.872718833694719,-0.799004882197531,-0.101063179784375,-0.0233210385882144,-0.118985657396316
"3285","sg:a02f6d228fe14fe8bb9c1f52fb56f391",130890207002,8,8456.7845865,91136,0.527742847,0.638476502,4053,8,0.397843122690386,0.197020482442295,0.170614287571262,0.119895637964012,0.114626469332046,0.19184654670231,0.77783069996941,0.0588849432762771,8,2,"food place",9286,"Dulce Vegan Bakery and Cafe","Bakeries and Tortilla Manufacturing","Retail Bakeries","1994 Hosea L Williams Dr NE","Atlanta",33.751438,-84.32234,311811,130890207002,311203,0,0.0828220858895705,0.226993865030675,0.177914110429448,0.153374233128834,0.358895705521472,0.687409551374819,0.201157742402315,0.173661360347323,0.630042073601631,1.18701237931065,0.416851210265362,0.512688209990823,-0.4722571532671,-0.361523497836623,-1.0722359622396,-0.562795485566684
"3286","sg:a0323f46e84f4f8482dba9668a35986d",131210006001,550,4993.33215129672,53686,0.997587364,0.731081321,4054,550,0.292589488036219,0.209968813187145,0.240801895219919,0.126116539776987,0.108705081961548,0.373221924433054,0.484536288692709,0.166985173740812,550,62,"food place",12239,"Cook Out","Restaurants and Other Eating Places","Full-Service Restaurants","1112 Northside Dr NW","Atlanta",33.785338,-84.407803,722511,131210006001,1457850,2002,0.262289068231842,0.134629493763756,0.247982391782832,0.195524578136464,0.159574468085106,0.519487313628041,0.175124247972796,0.333115354433691,0.233097660273715,0.62180761060778,0.283778574704749,0.134359960615049,0.00241263574034423,-0.26891867948483,-0.455677429914901,-0.225917163710802
"3287","sg:a042bbb7225f4e4c9d6d42e54124e300",131210002004,20,4037.40681022,248958,0.024862938,0.418414519,4055,20,0.0718534914808813,0.0791874070269847,0.115150722056253,0.157984888536136,0.575823490899745,0.899040381772043,0.0376303200305677,0.0761226141881653,20,5,"food place",2191,"Mali Restaurant","Restaurants and Other Eating Places","Full-Service Restaurants","961 Amsterdam Ave NE","Atlanta",33.787413,-84.355545,722511,131210002004,575397,0,0.0337078651685393,0.0382022471910112,0.107865168539326,0.170786516853933,0.649438202247191,0.869969040247678,0.0270897832817337,0.18266253869969,0.172832679330486,0.146151802784724,0.71743898179949,0.99833044755331,0.975137061741476,0.581585480928015,0.0185308047755313,-0.165547125813559
"3288","sg:a043e5b03edf4ca9b986ce273009a6a1",131210019002,150,5251.84477992963,73464,0.762082134,0.862807584,4056,150,0.16625736269017,0.143149409154593,0.242812040349984,0.205272645004647,0.242508542800606,0.518406988594519,0.394216122868039,0.117718757467771,150,28,"others",15716,"St Lukes Episcopal Church","Religious Organizations","Religious Organizations","435 Peachtree St NE","Atlanta",33.766469,-84.384665,813110,131210019002,852986,0,0.106457242582897,0.141361256544503,0.273996509598604,0.245200698080279,0.232984293193717,0.420841683366733,0.505511022044088,0.110220440881764,0.142225044648503,0.216358520989842,0.154062456310474,0.256320623194251,0.23791786572648,0.13719241596049,0.208860204403835,-0.0919920761861062
"3289","sg:a044e4457bd846a1856e7e2a066e1f0b",131210013001,137,4028.92532378621,88977,0.544083737,0.755838011,4057,137,0.121863712511535,0.139426165410044,0.232076254899541,0.240487789760464,0.266146077418415,0.612166858185624,0.26997759562388,0.160174678694627,137,30,"food place",37254,"Marrakesh Mediterranean Kitchen","Restaurants and Other Eating Places","Full-Service Restaurants","675 Ponce de Leon Ave NE Ste N141","Atlanta",33.773028,-84.36597,722511,131210013001,818135,0,0.12262156448203,0.143763213530655,0.171247357293869,0.29492600422833,0.267441860465116,0.488710486703462,0.363271450075263,0.188158554942298,0.121657795211344,0.244734102181216,0.25029624415684,0.516774941256372,0.455916262561744,0.244161989257299,0.216750225933545,-0.050639097423462
"3290","sg:a056ad773a154cd7b2ab3fb6129c5e73",131210096033,1136,5747.2128433303,64263,0.347980071,0.675176632,4058,1136,0.120390813767275,0.117562170519851,0.198088663439188,0.177814195274806,0.386144156998879,0.720894415063067,0.182601485615657,0.124247283810438,1136,100,"retail",14547,"BP","Gasoline Stations","Gasoline Stations with Convenience Stores","3004 Piedmont Rd NE","Atlanta",33.836629,-84.368469,447110,131210096033,862200,0,0.115335868187579,0.248415716096324,0.108998732572877,0.110266159695817,0.416983523447402,0.700568181818182,0.267613636363636,0.0318181818181818,0.323385824049992,0.197767485985121,0.352676704547371,0.676951213257848,0.65201992944741,0.32482336798656,0.105338383992864,0.162507269127244
"3291","sg:a05a907938c34af093dbdd718d655ade",131210013001,461,4746.46642127778,88977,0.599966231,0.829618679,4059,461,0.172892968758313,0.135280909910479,0.212088921540458,0.196370667564378,0.283366532226373,0.600057404419631,0.313750634996282,0.1147323412548,461,73,"retail",27054,"Mountain High Outfitters","Sporting Goods, Hobby, and Musical Instrument Stores","Sporting Goods Stores","675 Ponce de Leon Ave NE","Atlanta",33.771757,-84.365509,451110,131210013001,818135,0,0.12262156448203,0.143763213530655,0.171247357293869,0.29492600422833,0.267441860465116,0.488710486703462,0.363271450075263,0.188158554942298,0.214075280568257,0.234293946482648,0.184234399581502,0.41545011067815,0.400033769423349,0.17038132112196,0.16086773279515,-0.124419765558801
